HOLE_ID,EASTING,NORTHING,ELEVATION,TD,PROJECT_FK,START_DATE,END_DATE,GEOLOGIST_NAME,GEOLOGY_GROUP
EUK-020,2394376.16,4808126.36,634.2,2.4,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
EUK_SE_006,2395656.054,4807701.304,669.835,2.12,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
EUK_SE_011,2395709.219,4807670.304,680.042,1.3,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
EUK_SE_018,2395739.627,4807669.173,684.397,1.03,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
EUK_SE_022,2395691.71,4807697.654,675.681,1.15,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
EUK_SE_031,2395740.287,4807661.099,684.286,1.24,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
EUK_SE_052,2395815.999,4807597.625,676.562,2.4,EK,01-01-1990 0:00,,Monica Arrese,CN_PRODUCCION
GGS-001,2407102.034,4805634.162,896.524,350,SCAP,07-02-2019 0:00,,Carla de la Rosa,CerroNegro
GGS-003,2407427.54,4805345.12,906.451,350.4,SCAP,20-01-2019 0:00,27-01-2019 0:00,Paola Santucho,CerroNegro
GPMN-002,2400675.902,4810053.75,629.902,200,MNE,06-04-2019 0:00,08-04-2019 0:00,Carla de la Rosa,CerroNegro
GPSB-001,2407011.55,4805985.3,822.171,40,BNE,15-02-2019 0:00,15-02-2019 0:00,Agustina Balzarini,CerroNegro
GSM-001,2400066.646,4810801.083,601.26,400.5,SMAR,15-02-2019 0:00,,Agustina Balzarini,CerroNegro
HDD-19012,2409022.689,4806416.33,808.173,264,HER,01-03-2019 0:00,06-03-2019 0:00,Agustina Balzarini,CerroNegro
HDD-19032,2409470.605,4806430.445,790.536,570,HER,22-08-2019 0:00,04-09-2019 0:00,Paola Santucho,CerroNegro
HDD-19036,2409843.553,4806341.354,789.868,536,HER,08-09-2019 0:00,17-09-2019 0:00,Carla de la Rosa,CerroNegro
